frame_id,timestamp_ms,model_id,landmark,x,y,confidence,depth_m
1,100,dog-tracker,nose,0.5,0.3,0.95,1.2
1,100,dog-tracker,left_eye,0.48,0.28,0.92,1.3
1,100,dog-tracker,right_eye,0.52,0.28,0.93,1.3
1,100,dog-tracker,neck,0.5,0.4,0.88,1.5
2,133,dog-tracker,nose,0.51,0.31,0.94,1.1
2,133,dog-tracker,left_eye,0.49,0.29,0.91,1.2
2,133,dog-tracker,right_eye,0.53,0.29,0.90,1.2
2,133,dog-tracker,neck,0.51,0.41,0.87,1.4
3,166,dog-tracker,nose,0.52,0.32,0.96,1.0
3,166,dog-tracker,left_eye,0.50,0.30,0.93,1.1
3,166,dog-tracker,right_eye,0.54,0.30,0.92,1.1
3,166,dog-tracker,neck,0.52,0.42,0.89,1.3
